Hash: Average Wait Vs Load_x,5,10,15
Hash: Average Wait Vs Load_y,73.49156107310844,65.37007740792674,66.34318404636001
Hash: Average Wait Vs Load_x,5,10,15
Hash: Average Wait Vs Load_y,63.224745809850106,65.29196537657604,60.335399668208275
Hash: Average Wait Vs Load_x,5,10,15
Hash: Average Wait Vs Load_y,56.334817392488915,56.03428824608808,57.05588069422485
Hash: Average Wait Vs Load_x,5,10,15
Hash: Average Wait Vs Load_y,53.939531144804484,55.79949583336844,54.40792915419816
Hash: Average Wait Vs Load_x,5,10,15
Hash: Average Wait Vs Load_y,50.451505230964386,53.1861534775823,47.535579174327324
