Hash: Average Throughput Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
1 Servers,0.12620826330371662,0.1077637318614613,0.10621721104500012,0.12540628803696055,0.11129615395088144,0.12169541259445733,0.11952986403747133,0.12570144220259016,0.122984025324387,0.1259538398708233
Hash: Average Throughput Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,0.08263436308173006,0.10240146322877823,0.09556847255045534,0.08055594869386223,0.08161625386832544,0.08422524209778343,0.08502574322353598,0.07782369699302619,0.08182837542987935,0.10240788762446035
Hash: Average Throughput Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,0.06112175826395216,0.06820596126003418,0.06804369806247508,0.06830897200070145,0.06726611145059687,0.06353453677237235,0.06254999129668948,0.06217183495958692,0.06534252706939121,0.06826520710073303
Hash: Average Throughput Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,0.05057755056127499,0.05013986895835842,0.051163283372825,0.05033998779701641,0.04971192996416919,0.04991374292010377,0.04742726927538414,0.04815525456547212,0.05083957561831549,0.05021543391366165
Hash: Average Throughput Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,0.04073548243955742,0.038697576504579285,0.040907009618305123,0.04094970487813558,0.04090027219529838,0.0406988380580329,0.04059465743608583,0.040943360584866126,0.04101440103797939,0.04037280973748454
Hash: Average Throughput Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,0.03419804006766748,0.03407199603571602,0.034276882008462684,0.03423877577330841,0.034171090817502615,0.0341280042645718,0.034119659904584244,0.034163790651752714,0.03309580384119848,0.03308053914197113
Hash: Average Throughput Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,0.029262763034437273,0.028756770093344014,0.02898674843578547,0.02937646356394109,0.02924495543394881,0.0284973906576984,0.029183598132685045,0.029233912392858673,0.02921788235535477,0.029377243373656412
Hash: Average Throughput Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,0.025134473221592842,0.025620290324928123,0.025013261712187155,0.02560587368095353,0.025587345601470714,0.025660501403358453,0.025610192644259386,0.025606579892300963,0.025404916507888363,0.02571739753838633
Hash: Average Throughput Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,0.022736245300242177,0.022948747415160193,0.02275016335203475,0.02272990553495032,0.022760041154684718,0.022741777727086823,0.022277014198328754,0.02276089163069947,0.02259403928476613,0.022695249712180718
Hash: Average Throughput Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,0.020342355983430767,0.02043663268230395,0.020406514676613228,0.02046697293916142,0.020449382113560857,0.02047620320500723,0.02045545076175093,0.020480218691646693,0.020462560237016203,0.020580855633724412
Hash: Average Throughput Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,0.018592175708394165,0.018557107447735633,0.020278423138685026,0.018613646561816646,0.01861669603237146,0.018614749852848365,0.018433956738128476,0.018596205294174745,0.018614732187378788,0.0185862214223958
Hash: Average Throughput Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,0.017069917414432253,0.016873611276670624,0.01705575449793756,0.016995591286479098,0.017003781845302334,0.01708915495347463,0.017037388432804817,0.017154849032343752,0.017053151843249504,0.01711704793285912
Hash: Average Throughput Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,0.01573713833920925,0.015742152840871534,0.015718403256571308,0.01576633691919275,0.015703210937978086,0.015748644867849274,0.015772815327917543,0.015749354554904706,0.015717747568443147,0.01575586505382626
Hash: Average Throughput Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,0.014519017345579626,0.014628396014988618,0.014515956301466005,0.014725574555657508,0.014588265283207304,0.014610694208875471,0.014611118755533762,0.014629085391074246,0.014771279796097695,0.014622087790951496
