Random: Average Throughput Vs Load_x,5,10,15
Random: Average Throughput Vs Load_y,0.027249764360134054,0.027269276155793658,0.027311075206484247
Random: Average Throughput Vs Load_x,5,10,15
Random: Average Throughput Vs Load_y,0.022754890300154974,0.02271115843733476,0.022743790546804723
Random: Average Throughput Vs Load_x,5,10,15
Random: Average Throughput Vs Load_y,0.01949410979151525,0.01946740508699963,0.019482700792701015
Random: Average Throughput Vs Load_x,5,10,15
Random: Average Throughput Vs Load_y,0.0172134222872696,0.017040724996790338,0.017151825258854204
Random: Average Throughput Vs Load_x,5,10,15
Random: Average Throughput Vs Load_y,0.015154397442379366,0.015162600169598032,0.015173221053381416
