Hash: Average Use Vs Load_x,5,10,15
Hash: Average Use Vs Load_y,0.21517336031789727,0.20945845662292917,0.21441674283918175
Hash: Average Use Vs Load_x,5,10,15
Hash: Average Use Vs Load_y,0.1924199690557564,0.19081174447470825,0.18936704738249419
Hash: Average Use Vs Load_x,5,10,15
Hash: Average Use Vs Load_y,0.17074709842952226,0.1696400501622066,0.17382763599343729
Hash: Average Use Vs Load_x,5,10,15
Hash: Average Use Vs Load_y,0.15674020186973128,0.1565928559129642,0.16133202255199658
Hash: Average Use Vs Load_x,5,10,15
Hash: Average Use Vs Load_y,0.14866244349646612,0.1482003479321139,0.14638357693978613
